game_key,team,game_number,game_label,date,opponent,location,result,team_score,opponent_score,gleague_standard_spending,e10_spending,two_way_spending,gleague_standard_salary_complete,e10_salary_complete,two_way_salary_complete,gleague_standard_players_used,e10_players_used,two_way_players_used,nba_standard_players_used,nba_linked_players_used,gleague_standard_minutes,e10_minutes,two_way_minutes,nba_standard_minutes,nba_linked_minutes,team_minutes,nba_linked_minute_share,unresolved_players_used,unresolved_minutes,gleague_standard_money_faced,e10_money_faced,two_way_money_faced,opponent_gleague_standard_salary_complete,opponent_e10_salary_complete,opponent_two_way_salary_complete,opponent_gleague_standard_players_used,opponent_e10_players_used,opponent_two_way_players_used,opponent_nba_standard_players_used,opponent_gleague_standard_minutes,opponent_e10_minutes,opponent_two_way_minutes,opponent_nba_standard_minutes
2025-11-07|Austin Spurs|Birmingham Squadron,Austin Spurs,1,@ Birmingham Squadron - 2025-11-07 - W 101-89,2025-11-07,Birmingham Squadron,AWAY,W,101,89,90000.0,255600.0,255900.0,1,1,1,2,4,3,0,7,42.18,105.04,92.79,0.0,197.83,240.01,0.824257,0,0.0,45000.0,476500.0,465836.0,1,1,1,1,6,2,0,26.32,145.28,68.4,0.0
2025-11-09|Austin Spurs|Birmingham Squadron,Austin Spurs,2,VS Birmingham Squadron - 2025-11-09 - W 110-97,2025-11-09,Birmingham Squadron,HOME,W,110,97,90000.0,255600.0,255900.0,1,1,1,2,4,3,0,7,30.36,107.4,102.23,0.0,209.63,239.99,0.873495,0,0.0,90000.0,476500.0,465836.0,1,1,1,2,6,2,0,58.2,113.41,68.38,0.0
2025-11-15|Austin Spurs|Memphis Hustle,Austin Spurs,3,@ Memphis Hustle - 2025-11-15 - W 120-98,2025-11-15,Memphis Hustle,AWAY,W,120,98,90000.0,340900.0,403518.0,1,1,1,2,5,3,0,8,39.48,114.13,86.38,0.0,200.51,239.99,0.835493,0,0.0,225000.0,426500.0,0.0,1,1,1,5,5,0,0,108.53,131.47,0.0,0.0
2025-11-16|Austin Spurs|Memphis Hustle,Austin Spurs,4,@ Memphis Hustle - 2025-11-16 - W 125-111,2025-11-16,Memphis Hustle,AWAY,W,125,111,90000.0,340900.0,318218.0,1,1,1,2,5,2,0,7,49.95,129.71,60.35,0.0,190.06,240.01,0.791884,0,0.0,180000.0,426500.0,0.0,1,1,1,4,5,0,1,75.89,129.93,0.0,34.17
2025-11-19|Austin Spurs|Osceola Magic,Austin Spurs,5,VS Osceola Magic - 2025-11-19 - W 134-120,2025-11-19,Osceola Magic,HOME,W,134,120,135000.0,255600.0,170600.0,1,1,1,3,4,2,0,6,61.18,108.65,70.17,0.0,178.82,240.0,0.745083,0,0.0,90000.0,571800.0,232918.0,1,1,1,2,7,1,1,13.18,164.1,31.13,31.6
2025-11-20|Austin Spurs|Osceola Magic,Austin Spurs,6,VS Osceola Magic - 2025-11-20 - L 102-110,2025-11-20,Osceola Magic,HOME,L,102,110,135000.0,255600.0,170600.0,1,1,1,3,4,2,0,6,58.02,111.28,70.7,0.0,181.98,240.0,0.75825,0,0.0,45000.0,511800.0,232918.0,1,1,1,1,6,1,1,16.27,167.35,31.1,25.3
2025-11-23|Austin Spurs|Rio Grande Valley Vipers,Austin Spurs,7,VS Rio Grande Valley Vipers - 2025-11-23 - W 130-123,2025-11-23,Rio Grande Valley Vipers,HOME,W,130,123,90000.0,255600.0,255900.0,1,1,1,2,4,3,0,7,52.07,96.7,91.24,0.0,187.94,240.01,0.783051,0,0.0,180000.0,100300.0,465836.0,1,1,1,4,2,2,1,95.7,52.64,71.92,19.75
2025-11-24|Austin Spurs|Rio Grande Valley Vipers,Austin Spurs,8,VS Rio Grande Valley Vipers - 2025-11-24 - W 118-100,2025-11-24,Rio Grande Valley Vipers,HOME,W,118,100,90000.0,255600.0,170600.0,1,1,1,2,4,2,0,6,61.37,101.95,76.69,0.0,178.64,240.01,0.744302,0,0.0,225000.0,100300.0,25000.0,1,1,1,5,2,1,0,134.98,72.02,33.0,0.0
2025-11-28|Austin Spurs|Oklahoma City Blue,Austin Spurs,9,VS Oklahoma City Blue - 2025-11-28 - W 116-110,2025-11-28,Oklahoma City Blue,HOME,W,116,110,135000.0,185600.0,170600.0,1,1,1,3,3,2,0,5,77.21,92.02,70.77,0.0,162.79,240.0,0.678292,0,0.0,135000.0,396200.0,232918.0,1,1,1,3,5,1,0,60.12,145.67,34.22,0.0
2025-11-30|Austin Spurs|Oklahoma City Blue,Austin Spurs,10,VS Oklahoma City Blue - 2025-11-30 - W 110-96,2025-11-30,Oklahoma City Blue,HOME,W,110,96,135000.0,185600.0,170600.0,1,1,1,3,3,2,0,5,70.6,92.5,76.9,0.0,169.4,240.0,0.705833,0,0.0,135000.0,481500.0,232918.0,1,1,1,3,6,1,0,40.04,161.86,38.1,0.0
2025-12-08|Austin Spurs|Mexico City Capitanes,Austin Spurs,11,@ Mexico City Capitanes - 2025-12-08 - W 110-107,2025-12-08,Mexico City Capitanes,AWAY,W,110,107,135000.0,100300.0,403518.0,1,1,1,3,2,3,0,5,83.86,58.08,98.05,0.0,156.13,239.99,0.650569,0,0.0,450000.0,0.0,0.0,1,1,1,10,0,0,0,240.0,0.0,0.0,0.0
2025-12-10|Austin Spurs|Mexico City Capitanes,Austin Spurs,12,@ Mexico City Capitanes - 2025-12-10 - W 117-104,2025-12-10,Mexico City Capitanes,AWAY,W,117,104,180000.0,100300.0,403518.0,1,1,1,4,2,3,0,5,86.57,55.14,98.3,0.0,153.44,240.01,0.639307,0,0.0,405000.0,0.0,0.0,1,1,1,9,0,0,0,240.0,0.0,0.0,0.0
2025-12-12|Austin Spurs|Texas Legends,Austin Spurs,13,@ Texas Legends - 2025-12-12 - W 138-132,2025-12-12,Texas Legends,AWAY,W,138,132,180000.0,85300.0,403518.0,1,1,1,4,1,3,0,4,92.03,37.35,110.62,0.0,147.97,240.0,0.616542,0,0.0,135000.0,466500.0,85300.0,1,1,1,3,6,1,0,54.89,162.21,22.9,0.0
2025-12-13|Austin Spurs|Texas Legends,Austin Spurs,14,@ Texas Legends - 2025-12-13 - L 122-126,2025-12-13,Texas Legends,AWAY,L,122,126,270000.0,85300.0,85300.0,1,1,1,6,1,1,0,2,161.86,42.52,35.62,0.0,78.14,240.0,0.325583,0,0.0,90000.0,381200.0,170600.0,1,1,1,2,5,2,0,30.2,143.9,65.9,0.0
